,park,motorway,supermarket,Costco
0,174.11936940000345,317.50195102581296,1462.1338888440596,2429.183636378725
1,244.30192432373516,3751.007507891109,736.1803640086217,4379.59528398877
2,785.056236302569,2866.680611752701,542.268794301462,9734.101989733961
3,1216.587776064371,1258.2775612873693,1247.3238715104414,8890.568375607612
4,376.81586889486437,2433.4582511388135,1072.5421282283482,8357.13003291401
5,948.2395237456843,2878.467283361218,709.4119872488345,9754.38986799934
6,265.3984848893271,2554.4384429896427,460.55172772361266,5524.348606225362
7,1064.789117502551,925.0190733530583,1653.299607676726,7385.866498820917
8,501.1308491320896,1568.8355382735117,1191.077370442765,13657.423301506375
9,179.66972449120058,3335.6183194292926,1187.1498178613306,4307.602061252988
10,109.99624597849132,2955.935413657423,1041.0026292776388,5283.9714721765
11,623.3787104240515,1514.1290685899403,1437.9337588554067,15112.361772734672
12,588.3057759111122,3861.366088735689,1030.9234964487987,6111.141676367894
13,1175.740273810675,682.288405762729,2976.0062839715943,1372.440200995109
14,490.44763324526616,10332.313128639831,1965.8468211444883,6898.469167416647
15,956.202147573018,3851.869909899952,1130.6142685229936,5838.2863266931845
16,1558.1622156951278,2364.5167314829964,2230.0393639507024,5224.8671947811035
17,757.8139834946952,2666.4716873118214,188.27815989802136,3988.759215849988
18,729.2963653424974,1336.1851081885184,844.9741539961016,5906.041486959989
19,332.49459555404763,9116.081610771267,1591.7455515248212,8818.414507164782
20,1749.233308733451,1916.481242914221,1427.0869812112664,3786.9703757830184
21,380.69036407509816,255.75734189768696,82.6959364357893,9436.772020733431
22,732.3390638286759,894.2666437647024,1059.4026551692612,1869.8025321643804
23,165.75747210754415,5650.890268682175,1062.3040283160947,4732.858298279707
24,1417.0538162878245,1371.6418542337306,2130.556868839704,7888.4124544902525
25,31.608428977745046,453.6345016109058,1277.0621480288664,2527.0568002644463
26,779.0632879426872,5413.560388041129,1452.7851719059445,3834.1130662452656
27,1925.2700845369095,301.55030518773583,911.8366649073932,10702.104800823994
28,484.26862498807,2290.092280604538,1341.860291565543,3466.8155718156695
29,1801.4977746343138,1751.5011741635847,4105.757852894821,5730.93839263073
30,457.42172538224173,1714.7528566364156,1045.8938987715308,12653.831247244068
31,447.7299360220166,2268.189255988928,544.0066179101809,3645.649776542163
32,125.1588984788781,357.21463151091893,725.3037549437142,10087.205712014356
33,377.258170973062,4214.236603950217,311.54028533554526,4953.480161887678
34,1192.0000367857272,2814.7441281106703,2284.2964484509394,5488.149333082918
35,464.3464565167619,1536.7372041029107,431.2405290461629,33084.4050582372
36,2846.878601823462,6546.850024474939,2163.8094775902746,6470.665808907136
37,440.36946708142995,315.50951771829386,1506.869216846583,5574.70998799657
38,549.2215729322669,3894.313479223484,1070.0371181749852,6121.393136731433
39,649.9274985520261,1886.2555365315782,550.9619115078817,1315.4524126753277
40,513.1913989595276,4227.047001110762,1424.5089455448483,3752.2218603137007
41,462.95276475895173,887.8119743092749,1469.927978891235,6770.61208756007
42,403.368449694539,2527.879597493085,1400.521813941296,4727.488522944715
43,193.14718086967164,1489.704077692043,369.59741787222686,3511.2627477827373
44,1200.271017324042,5457.886089103549,3386.270100706457,5457.58012446302
45,130.86114097399366,2241.65735546976,236.8882119159349,2498.715425893092
46,1877.6438067125516,3851.8094081036543,1787.6413370853738,4052.6822256602763
47,694.651834114519,1306.580012388625,1101.5835401265292,2729.9023135621123
48,198.09743295294658,85.51486494825691,1384.8049920389064,5322.274973747418
49,301.4684003175849,1224.5992586077775,804.3900039516559,13521.517252599342
50,91.34701987545118,2296.614488894964,1329.3514027872243,5363.640653674469
51,302.5832822370055,685.1733988411362,1254.8422543759918,8868.06522667108
52,80.6177349839958,599.0825072380351,1091.3305544185946,1368.8617196781572
53,385.6487468612596,736.305498653513,532.359794032975,2265.974431555263
